Hotel_Code,count
1252,68
807,61
36,44
1434,42
1537,37
1967,36
2206,35
95,32
2250,31
1641,30
769,28
569,26
2153,26
1457,26
147,24
1739,22
2406,21
624,21
548,20
389,20
158,20
1714,20
79,20
427,20
1876,19
1698,19
368,18
1129,18
2010,18
369,17
1287,17
136,17
243,17
2104,17
1543,17
224,16
73,16
1539,16
366,16
1114,16
331,16
2158,16
2099,15
901,15
1547,15
205,15
1493,15
310,15
1389,14
1136,14
1056,14
2147,14
663,14
2507,14
2162,14
655,13
2195,13
2114,13
407,13
1795,13
2160,13
314,13
1616,12
1032,12
420,12
2051,12
1650,12
2121,12
1510,12
1841,12
1442,11
210,11
213,11
1289,11
133,11
772,11
42,11
2471,11
2297,11
403,11
925,10
309,10
1571,10
2210,10
1578,10
2498,10
486,10
1239,10
1298,10
439,10
2194,10
2095,10
578,10
66,9
1756,9
2355,9
338,9
1674,9
171,9
1791,9
792,9
70,9
1861,9
770,9
811,9
34,9
2008,8
296,8
321,8
1375,8
1108,8
1378,8
843,8
926,8
201,8
2157,8
2709,8
572,8
1886,8
1954,8
1746,8
24,8
2072,8
708,8
1750,8
2141,8
1422,8
262,8
741,8
1316,8
1159,7
1268,7
1050,7
2561,7
2577,7
2807,7
1882,7
1005,7
2106,7
742,7
2750,7
299,7
1968,7
1045,7
1279,7
1891,7
65,7
1210,7
1536,7
2054,7
442,7
551,7
2885,7
197,7
726,7
342,7
2856,7
1975,7
1458,7
405,7
1612,7
1709,7
2792,6
356,6
354,6
2642,6
2575,6
483,6
2,6
705,6
813,6
1006,6
975,6
702,6
1383,6
117,6
1444,6
1480,6
1619,6
408,6
340,6
2693,6
1865,6
853,6
1862,6
2730,6
698,6
445,6
1931,6
1989,6
2048,6
2215,6
0,6
121,6
547,6
341,6
3007,6
339,6
2537,6
1060,6
232,6
1128,6
1482,6
2080,6
1798,6
1939,6
216,6
710,6
1884,6
1326,6
1618,6
1483,6
1877,6
1312,6
512,6
476,6
2061,6
1353,6
2204,6
440,6
2275,6
1144,6
1150,6
1214,6
154,6
2525,5
1915,5
563,5
208,5
2916,5
945,5
2417,5
2265,5
831,5
941,5
1235,5
129,5
1568,5
2457,5
2285,5
2736,5
2076,5
595,5
335,5
2119,5
1068,5
1561,5
1018,5
1393,5
2295,5
1518,5
2208,5
447,5
2578,5
1527,5
659,5
1768,5
1688,5
2464,5
847,5
556,5
2163,5
1047,5
2790,5
2427,5
2481,5
1178,5
2267,5
1450,5
2863,5
2418,4
1970,4
2303,4
35,4
500,4
566,4
952,4
2268,4
2830,4
387,4
375,4
1395,4
1579,4
274,4
450,4
2338,4
1410,4
1784,4
1834,4
1387,4
2805,4
2349,4
2291,4
763,4
829,4
1902,4
1976,4
2001,4
1053,4
160,4
113,4
2655,4
2125,4
2262,4
1940,4
146,4
953,4
355,4
2724,4
2573,4
2722,4
1752,4
814,4
503,4
2791,4
840,4
918,4
1839,4
2634,4
2093,4
55,4
2549,4
575,4
1607,4
2877,4
288,4
1101,4
848,4
960,4
1636,4
1026,4
2371,4
2096,4
884,3
808,3
830,3
1052,3
1896,3
1993,3
2774,3
2122,3
312,3
1242,3
2239,3
894,3
2196,3
712,3
727,3
242,3
1407,3
1440,3
2491,3
2468,3
2313,3
2526,3
1667,3
1941,3
913,3
1096,3
1012,3
2688,3
2462,3
996,3
1946,3
2043,3
964,3
644,3
818,3
683,3
2023,3
709,3
676,3
2059,3
2868,3
1473,3
1757,3
1766,3
1403,3
203,3
1430,3
1429,3
2477,3
704,3
1262,3
2938,3
1481,3
2307,3
675,3
182,3
1080,3
1770,3
2823,3
651,3
2428,3
2994,3
2166,3
2064,3
1682,3
2359,3
2022,3
2839,3
1763,3
771,3
2002,3
3196,3
1109,3
3190,3
810,3
2657,3
2888,3
1275,3
496,3
2336,3
1168,3
954,3
1589,3
2305,3
2256,3
1823,3
1847,3
588,3
2571,3
1362,3
1238,2
1008,2
3261,2
1367,2
1228,2
2869,2
1365,2
2879,2
2012,2
1031,2
893,2
686,2
192,2
268,2
1347,2
2608,2
2656,2
2690,2
1208,2
2708,2
2710,2
2739,2
700,2
2759,2
866,2
2910,2
1124,2
2889,2
912,2
1016,2
2350,2
2360,2
1009,2
1476,2
2719,2
272,2
1609,2
1732,2
1710,2
1785,2
2454,2
1860,2
1938,2
2242,2
2070,2
2113,2
1787,2
1725,2
2233,2
2236,2
2255,2
2767,2
2995,2
994,2
2961,2
2841,2
1027,2
1102,2
1190,2
1363,2
1633,2
1402,2
1470,2
1580,2
1885,2
3006,2
2386,2
2837,2
1685,2
1984,2
3127,2
3140,2
2186,2
2449,2
374,2
3053,2
2746,2
750,2
690,2
1621,2
75,2
149,2
534,2
724,2
756,2
1024,2
1284,2
1503,2
1504,2
1657,2
2689,2
1713,2
1738,2
1843,2
1874,2
2060,2
2347,2
175,2
2636,2
2665,2
1687,2
2534,2
2424,2
931,2
1869,2
2939,2
2924,2
687,2
2613,2
743,2
2895,1
1575,1
305,1
436,1
2631,1
1335,1
2873,1
2214,1
1322,1
2983,1
646,1
1276,1
3090,1
1085,1
2032,1
1090,1
1230,1
1569,1
1594,1
3270,1
2015,1
2049,1
1972,1
1855,1
1233,1
2175,1
2732,1
2952,1
1754,1
3297,1
2062,1
10,1
2127,1
3131,1
39,1
41,1
3225,1
2373,1
1059,1
826,1
877,1
1245,1
1342,1
3110,1
152,1
3185,1
2560,1
1113,1
778,1
2402,1
3288,1
1686,1
1760,1
3107,1
2123,1
2439,1
2878,1
163,1
219,1
317,1
737,1
2509,1
397,1
2682,1
798,1
1371,1
836,1
523,1
1767,1
459,1
209,1
430,1
2670,1
398,1
336,1
2279,1
2987,1
178,1
3034,1
2721,1
3242,1
3063,1
1200,1
204,1
815,1
3028,1
3254,1
3119,1
2905,1
1811,1
2968,1
2954,1
1994,1
2943,1
3278,1
2320,1
2292,1
2932,1
1945,1
3227,1
3224,1
1973,1
2972,1
1934,1
3203,1
2572,1
2536,1
3186,1
3180,1
2437,1
200,1
2183,1
3153,1
3150,1
2155,1
2937,1
2931,1
1883,1
3223,1
2763,1
2728,1
2712,1
1679,1
2707,1
859,1
2701,1
1759,1
2738,1
2663,1
2658,1
1818,1
2630,1
2619,1
2512,1
2500,1
1573,1
1564,1
2569,1
2660,1
2928,1
2917,1
2582,1
2909,1
518,1
2975,1
1137,1
2883,1
2775,1
1083,1
2874,1
990,1
1028,1
1417,1
2717,1
2811,1
1185,1
