Hotel_Brand,business,couple,family,friends,single
0,2236.0,4453.0,2149.0,1031.0,1493.0
8,1694.0,2115.0,2548.0,492.0,491.0
10,1481.0,3196.0,1602.0,632.0,577.0
2,997.0,2470.0,1336.0,499.0,638.0
6,494.0,576.0,459.0,163.0,112.0
13,423.0,830.0,451.0,144.0,135.0
7,421.0,722.0,535.0,163.0,109.0
19,224.0,551.0,373.0,108.0,191.0
5,189.0,540.0,323.0,127.0,108.0
4,176.0,737.0,310.0,130.0,61.0
17,175.0,257.0,273.0,88.0,64.0
14,101.0,119.0,264.0,30.0,30.0
11,95.0,99.0,121.0,24.0,23.0
9,93.0,98.0,80.0,22.0,26.0
20,89.0,130.0,73.0,35.0,23.0
1,84.0,63.0,21.0,19.0,21.0
3,71.0,54.0,54.0,10.0,15.0
16,68.0,103.0,59.0,24.0,39.0
15,64.0,189.0,83.0,36.0,22.0
18,64.0,150.0,214.0,44.0,43.0
29,53.0,119.0,55.0,24.0,23.0
30,29.0,37.0,22.0,5.0,9.0
23,27.0,75.0,49.0,14.0,7.0
28,26.0,47.0,29.0,14.0,6.0
22,20.0,62.0,20.0,15.0,7.0
24,17.0,50.0,56.0,10.0,7.0
27,14.0,41.0,13.0,8.0,6.0
12,12.0,37.0,12.0,8.0,3.0
21,10.0,103.0,102.0,23.0,5.0
25,9.0,62.0,23.0,9.0,4.0
26,6.0,15.0,2.0,5.0,8.0
36,6.0,7.0,3.0,5.0,4.0
37,4.0,0.0,2.0,1.0,1.0
34,3.0,34.0,15.0,8.0,9.0
33,1.0,36.0,28.0,10.0,4.0
31,1.0,4.0,1.0,3.0,1.0
35,1.0,3.0,2.0,2.0,3.0
32,0.0,3.0,0.0,1.0,0.0
